,mean_salary,count
Quantitative Trading,500000.0,1
Scientific Computing,500000.0,1
Speech Recognition,500000.0,1
Frontend frameworks,352500.0,1
UI prototyping,352500.0,1
Fullstack software,352500.0,1
UPS Claims,341568.0,1
Dashboard Management,341568.0,1
Carrier Relationship Management,341568.0,1
Claims Management,341568.0,1
Claims SOP,341568.0,1
Parcel Claims,341568.0,1
Automated Freight Claims,341568.0,1
Operational processes,329500.0,1
Quantitative data,329500.0,1
Commercial contracts,329500.0,1
Negotiations,329500.0,1
Performancedriven payment functions,329500.0,1
Forward Deployed Engineer,327500.0,1
Claude LLM,327500.0,1
Platform Engineer,327500.0,1
AI/LLMs,325000.0,1
Memcache,325000.0,1
Blockchain governance,325000.0,1
Animation,300000.0,1
Docusaurus,299500.0,1
Buildkite,299500.0,1
Multiplatform,299500.0,1
SVGs,299500.0,1
Micro Frontends,280000.0,1
NoCode LowCode Solutions,280000.0,1
EMR integrations,275000.0,1
Modern Data Platforms,275000.0,1
Clinical documentation,275000.0,1
Client Web Services,266480.0,1
API architectures,262850.0,1
Stablecoin,259900.0,1
Decentralized Systems,259900.0,1
Network infrastructure security products,256700.0,1
Xpanse,256700.0,1
XSIAM,256700.0,1
OOP languages,255000.0,1
C++/C,250000.0,1
Protobuf,250000.0,1
Distributed Algorithms,250000.0,1
Open source frameworks,249500.0,1
Explainable AI,247500.0,1
keras,247500.0,1
FineTuned LLMs,247500.0,1
GCP/AWS,247500.0,1
ML Systems,247500.0,1
Feature Engineering for Machine Learning,247500.0,1
Graph Neural Networks,247500.0,1
Distributed/Scalable Architecture,243500.0,1
Message Queue,243500.0,1
ML (Machine Learning),240000.0,1
Move,240000.0,1
Feature design,239335.5,1
Iteration,239335.5,1
Feature selection,239335.5,1
Training data,239335.5,1
Productionization,239335.5,1
Statistical rigor,239335.5,1
Biased / incomplete training data,239335.5,1
Retrieval,238500.0,1
Bidding,238500.0,1
Graph Learning,238500.0,1
Ads,238500.0,1
Model Testing,236531.0,1
Model Design,236531.0,1
Payment Systems,235000.0,2
Websocket,233750.0,2
Cypress.io,233750.0,1
DSPM/CSPM,230000.0,1
Experimental design,230000.0,1
Data Privacy/Protection,230000.0,1
FullStack Engineering,230000.0,1
Relational data,230000.0,1
Mixed effects,230000.0,1
Dimensional Data Modeling,230000.0,1
Data Normalization,230000.0,1
Snaplogic,230000.0,1
OkHttp,229200.0,2
GitHuB,228000.0,1
Crypto Wallets,228000.0,1
GCP Cloud Deployment Manager,228000.0,1
Onprem,228000.0,1
Zero Trust,228000.0,1
Generative Modeling,225000.0,1
Medical NLP,225000.0,1
Model Parallelism,225000.0,1
Debugging and Optimizing TPU/GPU models,225000.0,1
Training ML models,225000.0,1
Component Library,225000.0,1
Evaluation techniques,225000.0,1
Training on GKE,225000.0,1
Conversation summarization,225000.0,1
Netlify,225000.0,1
Outcome prediction,225000.0,1
Audio,225000.0,1
Design System,225000.0,1
Evidence extraction,225000.0,1
Deep Learning Models,224000.0,1
Developer Infrastructure,222500.0,1
Software Development Cycle,222500.0,1
Open Source Software Release,222500.0,1
Software Release,222500.0,1
GraphDB,222500.0,1
Open Source Software,222500.0,1
Cloud (SaaS PaaS IaaS),222038.3,1
Rocket UniData,222038.3,1
Unibasic,222038.3,1
CometBFT,220000.0,1
IBCgo,220000.0,1
Enterprise Resource Planning (ERP),219000.0,1
Tax,219000.0,1
Billing,219000.0,1
Deep Neural Networks,217500.0,3
Software engineering fundamentals,217425.0,1
Problemsolving ability,217425.0,1
Modern frameworks,217425.0,1
Code Development,214500.0,1
Code Maintainability,214500.0,1
Crossfunctional Collaboration,214500.0,1
Software Distribution,214000.0,1
Cloud Computing (AWS Azure GCP),214000.0,1
IdP/Authentication,214000.0,1
Cloudflare One,214000.0,1
DDOS Mitigations,214000.0,1
OTPS,214000.0,1
Client OS Fundamentals,214000.0,1
SDWAN Solutions,214000.0,1
Secure Gateway Solutions,214000.0,1
Remote Browser Isolation,214000.0,1
DNS over HTTP,214000.0,1
Testing library,212500.0,1
styledcomponents,212500.0,1
Management Reporting,212500.0,1
GLMs,212500.0,1
Time series modeling,212500.0,1
ARs,212500.0,1
Data Repository,212500.0,1
Sales Engineer,212500.0,2
GAMs,212500.0,1
NVIDIA Infrastructure,212000.0,1
RLHF,212000.0,1
SFT,212000.0,3
NVIDIA AI products (RAPIDS NEMO CuOpt Merlin AI Foundations),212000.0,1
Reinforcement Learning Human Feedback,212000.0,2
NEMO,212000.0,1
Cloud AI,212000.0,1
Docker/Containers,212000.0,1
Transformers Models,212000.0,2
sparksrapids,212000.0,1
Merlin,212000.0,1
Parameter Efficient Fine Tuning,212000.0,2
CuOpt,212000.0,1
AI Foundations,212000.0,1
PEFT,212000.0,1
SignalFx,210560.0,5
MetaFlow,210000.0,1
Cryptocurrencies,210000.0,3
ServiceOriented Architectures,210000.0,1
Product analytics,209300.0,1
Uncertainty Estimation,209000.0,1
Robustness Improvement,209000.0,1
Web3 infrastructure,209000.0,1
ESBuild,207500.0,2
Styled Components,207500.0,2
ML/DL frameworks,207500.0,1
KubeFlow Pipelines,207500.0,1
Graph data,207350.0,1
OpenEye Toolkits,207350.0,1
Sequence data,207350.0,1
RDKit,207350.0,1
Deepspeed,207350.0,1
Structurebased data,207350.0,1
Scaling,206400.0,1
Service mesh,205000.0,1
Caffe,205000.0,1
Kubernetes controllers,205000.0,1
Lifecycle marketing,203900.0,1
Productled growth,203900.0,1
Recommender systems,203900.0,1
Peer Reviews,202500.0,1
Recommendation,202500.0,1
Personalization,202250.0,2
Modeling and Simulation,201499.5,1
CI/CD pipeline development,201499.5,1
Payment processing,201150.0,1
Financial technology,201150.0,1
High quality,201000.0,1
